placa;km;km_troca_oleo;renavam;chassi;ano_fabricacao;ano_modelo;IdCliente;modelo;montadora
GIO9130;;;;9BWAG4120HT505768;2016;;45117;UP;volkswagen
CYL3C98;;;;9BWKB05Z764112201;2005;;45116;FOX;volkswagen
JHS5D77;;;;9BWKB05W99P059509;2008;;45114;SAVEIRO;volkswagen
OES2J73;;;;WV1DD42H0DA055795;2013;;45111;AMAROK;volkswagen
DCC4D87;;;;9BWCB05X31T008807;2000;;45110;GOL;volkswagen
EWQ0E24;;;;953658262DR325547;2013;;45109;26280;
RTX7E79;;;;;;;45107;STRADA;fiat
EAP9G21;;;;9BWDB05U29T225545;2009;;45103;VOYAGE;volkswagen
PAO2661;;;;988611152GK055613;2016;;45102;RENEGADE;jeep
AID1652;;;;9BWZZZ373WT161764;1998;;45100;GOL;volkswagen
DXP1059;;;;9BGRZ48907G239365;2007;;45099;CELTA;chevrolet
FDJ4C13;;;;9BFZF55P6D8389832;2012;;45097;FIESTA;ford
FZV2009;;;;935CHN6A49B520374;2008;;45093;PICASSO;citroën
DDZ4119;;;;;;;45092;GOL G3 =..;volkswagen
EID4558;;;;9BFZK53A29B119615;2009;;45090;KA;ford
EML4J01;;;;9BFZH55L0L8382090;2019;;45089;KA;ford
DCB6588;;;;9BFBSZFDA1B391461;2001;;45088;FIESTA;ford
EIT8D26;;;;9BGSU19F0BB295842;2011;;45087;CLASSIC;chevrolet
EIT8D26;;;;9BGSU19F0BB295842;2011;;45087;CLASSIC;chevrolet
MXB9E29;;;;*****56933;2024;;45085;208;
PKO1A08;;;;JTDKB3FU1G3541887;2016;;45084;PRIUS;toyota
STT3H14;;;;*****84691;2024;;45083;COROLLA;toyota
GGG4J40;;;;9BFZH55LXG8327071;2016;;45081;KA;ford
EXT0G82;;;;9BGCA80X0CB193770;2011;;45080;MONTANA;chevrolet
CXF3570;;;;9BFZZZ54ZKB042255;1989;;45079;ESCORT;ford
CFO1B82;;;;9BGSC08ZVTB601137;1996;;45077;CORSA;chevrolet
FXH6871;;;;9BWDB45U1JT095303;2017;;45074;VOYAGE;volkswagen
SWZ8E03;;;;*****06453;2025;;45074;VIRTUS;volkswagen
GHZ0A64;;;;9BFZH55L0J8150439;2018;;45071;KA;ford
FRO1A07;;;;9BWLB05U5AP128817;2010;;45070;SAVEIRO;volkswagen
FBX3C68;;;;9BFZK53A7CB346077;2011;;45068;KA;ford
EMQ0D49;;;;8AP17206LB2169453;2010;;45066;SIENA;fiat
DHZ2G94;;;;9BGRD08X03G168373;2003;;45065;CELTA;chevrolet
AXS4327;;;;9BFZF55A5E8062545;2013;;45063;FIESTA;ford
BUL3771;;;;9BFZZZ54ZSB731673;1995;;45062;ESCORT;ford
FSP3148;;;;9BD372171E4049668;2014;;45061;SIENA;fiat
KQQ5I81;;;;9BHBG51CAFP303207;2014;;45060;HB20;hyundai
CAM3073;;;;9BFDXXLB1DFD87549;1985;;45058;BELINA;ford
DCY4G67;;;;9BD17164LA5391149;2009;;45057;PALIO;fiat
DDZ4767;;;;9BGRD08Z02G116752;2001;;45056;CELTA;chevrolet
ALZ9987;;;;9BD17146752496305;2004;;45055;PALIO;fiat
CQK8378;;;;9BWZZZ373WT102714;1998;;45054;GOL;volkswagen
CVE6200;;;;9BFBSZFHAYB315697;2000;;45053;FIESTA;ford
DTT9D69;;;;8AFFZZFFC8J075071;2007;;45052;FOCUS;ford
DRE4467;;;;9BGRX48J05G177383;2005;;45051;CELTA;chevrolet
DMD5W52;;;;;;;45050;FOX;volkswagen
