NumeroDoPedido;ID_Cliente;ID_Vendedor;CreatedAt;Status;ID_Produto_ou_Codigo;Quantidade;ValorUnitario;ValorFrete;DescontoItem;Observacao;ID_FormaPagamento
120;43618;477;11/04/2025;PROPOSAL;751818;4;0,00;;;3227;493
120;43618;477;11/04/2025;PROPOSAL;751928;1;0,00;;;3227;493
121;43590;477;17/04/2025;PROPOSAL;751759;3;0,00;;;3284;493
122;43782;477;22/04/2025;PROPOSAL;751245;2;0,00;;;3314;493
122;43782;477;22/04/2025;PROPOSAL;751258;1;0,00;;;3314;493
122;43782;477;22/04/2025;PROPOSAL;751858;2;0,00;;;3314;493
123;43590;477;23/04/2025;PROPOSAL;751622;1;0,00;;;3328;493
124;43776;477;07/05/2025;PROPOSAL;751178;1;0,00;;;4001;493
125;43774;477;16/05/2025;PROPOSAL;751306;1;0,00;;;4076;493
125;43774;477;16/05/2025;PROPOSAL;751477;1;0,00;;;4076;493
125;43774;477;16/05/2025;PROPOSAL;752047;1;0,00;;;4076;493
126;43773;477;16/05/2025;PROPOSAL;751382;1;0,00;;;4077;493
126;43773;477;16/05/2025;PROPOSAL;751511;1;0,00;;;4077;493
126;43773;477;16/05/2025;PROPOSAL;751577;1;0,00;;;4077;493
127;43717;477;16/05/2025;PROPOSAL;751781;1;0,00;;;4083;493
127;43717;477;16/05/2025;PROPOSAL;751796;2;0,00;;;4083;493
128;43772;477;16/05/2025;PROPOSAL;751184;1;0,00;;;4084;514
129;43590;477;17/05/2025;PROPOSAL;751321;3;0,00;;;4111;514
130;43771;477;17/05/2025;PROPOSAL;751317;1;0,00;;;4112;493
130;43771;477;17/05/2025;PROPOSAL;752039;1;0,00;;;4112;493
131;43684;477;19/05/2025;PROPOSAL;751048;2;0,00;;;4117;493
131;43684;477;19/05/2025;PROPOSAL;751511;1;0,00;;;4117;493
131;43684;477;19/05/2025;PROPOSAL;751759;3;0,00;;;4117;493
132;43607;477;26/05/2025;PROPOSAL;751840;1;0,00;;;4173;493
132;43607;477;26/05/2025;PROPOSAL;751842;1;0,00;;;4173;493
133;43590;477;05/06/2025;PROPOSAL;751099;1;0,00;;;4306;514
133;43590;477;05/06/2025;PROPOSAL;751705;1;0,00;;;4306;514
134;43590;477;01/07/2025;PROPOSAL;751321;3;0,00;;;4504;514
134;43590;477;01/07/2025;PROPOSAL;751461;3;0,00;;;4504;514
135;43685;477;03/07/2025;PROPOSAL;751549;1;0,00;;;4509;493
136;43685;477;07/07/2025;PROPOSAL;751717;1;0,00;;;4524;493
136;43685;477;07/07/2025;PROPOSAL;751788;2;0,00;;;4524;493
137;43621;477;11/07/2025;PROPOSAL;751238;2;0,00;;;4593;493
138;43743;477;14/07/2025;PROPOSAL;752008;4;0,00;;;4600;493
138;43743;477;14/07/2025;PROPOSAL;752010;4;0,00;;;4600;493
138;43743;477;14/07/2025;PROPOSAL;751882;1;0,00;;;4600;493
139;43607;477;12/08/2025;PROPOSAL;751142;1;0,00;;;4965;493
140;43607;477;01/09/2025;PROPOSAL;751142;1;0,00;;;5118;493
141;43660;477;10/09/2025;PROPOSAL;751380;1;0,00;;;5173;493
142;43701;477;10/09/2025;PROPOSAL;751781;1;0,00;;;5174;514
142;43701;477;10/09/2025;PROPOSAL;752035;1;0,00;;;5174;514
143;43649;477;10/09/2025;PROPOSAL;751368;1;0,00;;;5175;493
144;43698;477;10/09/2025;PROPOSAL;751957;1;0,00;;;5176;493
145;43666;477;10/09/2025;PROPOSAL;751006;1;0,00;;;5177;493
146;43666;477;18/09/2025;PROPOSAL;751933;1;0,00;;;5283;500
147;43695;477;18/09/2025;PROPOSAL;751820;4;0,00;;;5285;493
148;43685;477;06/10/2025;PROPOSAL;751939;1;0,00;;;5408;493
149;43677;477;14/10/2025;PROPOSAL;751019;1;0,00;;;5507;493
149;43677;477;14/10/2025;PROPOSAL;751028;1;0,00;;;5507;493
149;43677;477;14/10/2025;PROPOSAL;751644;2;0,00;;;5507;493
